"article-info","article-info href","article-description","article-description 2","article-description 3","article-description href","article-description 4","article-description 5","article-description 6","article-description 7","article-description 8","article-description 9","article-description 10","article-description 11","article-description 12","article-description 13","article-description 14","article-description 15","article-description 16","article-description 17","contact-us href"
"How do I search for flights on Skyscanner?","https://help.skyscanner.net/hc/en-gb/articles/201549211-How-do-I-search-for-flights-on-Skyscanner","We know you're looking for the best prices to choose the right flight for your trip.","To start your search, open up Skyscanner's search pages  Enter the  in the  and fields. Enter your  in the  and  fields, then click  A list of flight options will appear.","here.","https://www.skyscanner.net/","city, airport or country","From","To","travel dates","Depart","Return","Search",".","When you've seen a suitable flight for your needs, you can click on , and we'll show you a list of airlines and travel agencies so you can book directly with them.","Select","You can then use search filters, such as the number of stops and departure time, to help you find the perfect flight.","If you're looking for inspiration for your next trip, why not try our , which helps you see endless destinations at every price from thousands of travel sites in one place. Or, if you're flexible on dates, you can use our Whole month view to find the cheapest time to travel.","everywhere feature","We've got lots of tips and tricks to help you save more on our","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201549211"
"How do I search for multiple destinations?","https://help.skyscanner.net/hc/en-gb/articles/201151512-How-do-I-search-for-multiple-destinations","The Multi-city search option is available in the destination field. First, enter the departure city, airport or country in the field, and then in the field, there is an option for a  search. These options are the same for both our and There is also a  button on our main flight search page.","Selecting the Multi-city search option will enable you to add multiple searches for different airports and dates.","website","http://www.skyscanner.net/news/how-use-skyscanners-multi-city-flights-search","From","mobile app.","this article","To","","","Multi-city","","Multi-city flights are a smart way to see more destinations in one go by adding extra legs to your trip. If, for example, you can't decide between Paris or Rome, you can book flights to both cities and turn your trip into an itinerary.","Multi-city","You can enter up to six legs of your journey, selecting your departure airport, destination and dates from the drop-down menus.","More information about how to search for multiple destinations can be found in .","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151512"
"How do I search for one way flights?","https://help.skyscanner.net/hc/en-gb/articles/115000001909-How-do-I-search-for-one-way-flights","By default, Skyscanner’s search is set up for return flights. However, it’s simple to change to one way. Whether you’re on our website, mobile website or app, you can search for one way flights by selecting the ‘one way’ option above the ‘From’ (departure airport) field.","To change back to return flights, simply re-select ‘Return’, or click in the return date field, and you’ll be able to search for return flights again.","","","","","","","","","","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=115000001909"
"How do I change my password?","https://help.skyscanner.net/hc/en-gb/articles/18191454525969-How-do-I-change-my-password","You no longer need to use a password to access your Skyscanner account. Instead, you can now use verification authentication.","There are four ways you can use verification authentication to access your Skyscanner account.","- You will need to be signed in to your Apple account which will likely be a two-factor authentication. Once you are logged into your Apple account, you will only need to enter your Apple ID to access your Skyscanner account.","","Apple","- You can sign in to your Skyscanner account by entering your email address. After you enter your email address, we will email you a 4-digit verification code. Enter the 4-digit code on the next screen, and you will be logged in.","- You will need to be signed in to your Facebook account. Once logged in, you only need to enter your login to access your Skyscanner account.","Facebook","- You will need to be signed in to your Google account. Once logged in, you only need to enter your Google ID to access your Skyscanner account.","Google","Email","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=18191454525969"
"Stop overs","https://help.skyscanner.net/hc/en-gb/articles/201301371-Stop-overs","At the moment, Skyscanner doesn’t show flights that include a stopover, but we plan to offer this feature in the near future.","In the meantime, some airlines and travel agents may allow you to do this directly on their sites, so you can still do your search on Skyscanner and then contact them directly once you can see the travel options, and they may be able to help.","","","","","","","","","","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201301371"
"Direct flights","https://help.skyscanner.net/hc/en-gb/articles/201301331-Direct-flights","If you want to search for direct flights, the method varies slightly depending on your device.","On desktop and mobile web, click the “Direct flights only” button at the bottom of the search controls.","","","","","","","","","","","If you are using our Android or iOS app you can tap on ""Sort & filter"" on the results page, on the top right corner of the screen.","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201301331"
"Group bookings","https://help.skyscanner.net/hc/en-gb/articles/201151542-Group-bookings","","","","","","","","","","","","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151542"
"Child/infant fares and children travelling alone","https://help.skyscanner.net/hc/en-gb/articles/201151562-Child-infant-fares-and-children-travelling-alone","Some airlines might offer discounted airfares for children and/or infants. To help give you the most accurate flight prices and help you rest easy, we always ask for the ages of your children at the time of travel.","individual","Once you have entered your passenger information, we display our flight search results to show the  (given to us by the airline/travel agent) for","","total price","18","We don’t have the prices that make up this total but, to help you compare flights, we show the  price per person. This is the total group price, divided by the number of passengers –","everyone","If fare prices are cheaper for any children or infants travelling, you can be assured that we have  taken these discounts into account in the total price.","average","Travelling families: Prices for children and infants","Understanding the prices we show","Once you have selected a flight, we will usually redirect you to the airline or travel agent's website where you will be able to see the fare price breakdown for all individuals travelling. We recommend checking this information carefully before you book, however the total price for all passengers should match the total price you were shown on Skyscanner.","including children and infants.","already","Some airlines have different rules and prices for people under age  who are travelling alone. We recommend you check this information with your chosen airline or travel agent before you book.","Prices for minors travelling alone","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151562"
"Open return","https://help.skyscanner.net/hc/en-gb/articles/201151672-Open-return","We’re not currently able to show open return tickets on Skyscanner.","However, some airlines and travel agents may still allow you to do this directly on their sites. You can therefore still do your search on Skyscanner, and then contact the travel provider (airline or travel agent) directly once you can see the travel options, and they should be able to help.","","","","","","","","","","","You should be able to find the contact details of the travel provider who sold you the tickets using the search below, but please drop us a line via the Contact Us link if you still need a hand.","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151672"
"First Class, Business Class or Premium Economy tickets","https://help.skyscanner.net/hc/en-gb/articles/201151532-First-Class-Business-Class-or-Premium-Economy-tickets","You can choose the cabin class (Economy, First Class, Business Class, or Premium Economy) before you begin your search.","On our , click on the  field to choose your preferred cabin class from the drop-down menu.","desktop and mobile websites","","Travellers and cabin class","mobile app,","","cabin class","","","",".","On our  tap the  field and pick your preferred cabin class from the drop-down menu.","","If you want to view results for another cabin class, adjust the selection in the drop-down menu and search again","You can search for premium class fares only when you are looking for specific locations or dates.","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151532"
"Skyscanner Quality Rating Score","https://help.skyscanner.net/hc/en-gb/articles/208437869-Skyscanner-Quality-Rating-Score","whether travellers are able to complete the payment process smoothly.","Payment experience:","how well the provider’s prices match the prices on Skyscanner, and whether any fees and charges are clearly shown.","","Price accuracy and fee transparency:","does the provider have a clear refund or change policy for each ticket? Is the policy easy to find during the booking process?","whether flights selected on Skyscanner are consistently available on the provider’s site.","Flight availability:","how easy to use and stable the provider’s site is during the booking process.","Website usability:","Refund and change policy:","After you’ve visited a travel provider site from Skyscanner, we show a survey asking for feedback about your experience with that provider. We combine those survey results with any post-booking feedback received by our Support Team about each travel provider to generate an overall quality rating. To make sure that the quality rating is relevant and up-to-date, we only take into account feedback from the last 91 days, and we refresh the scores weekly.","how easy is it for travellers to contact the provider for help, as well as any concerns about their service and reliability.","Customer service and post-booking experience:","Our ratings are never influenced by us, or by our travel providers.","","How is the rating calculated?","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=208437869"
